"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","Switzerland","Thousand tonnes","66,089",""
"2015","Montenegro","Thousand tonnes","987",""
"2015","North Macedonia","Thousand tonnes","1,566",""
"2015","Turkey","Thousand tonnes","24,286",""
"2015","Bosnia and Herzegovina","Thousand tonnes","13,677",""
"2016","Belgium","Thousand tonnes",":","c"
"2016","Bulgaria","Thousand tonnes","14,226",""
"2016","Czechia","Thousand tonnes","98,034",""
"2016","Denmark","Thousand tonnes","9,383",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand tonnes","363,512",""
"2016","Estonia","Thousand tonnes","25,364",""
"2016","Ireland","Thousand tonnes","581",""
"2016","Greece","Thousand tonnes","1,094",""
"2016","Spain","Thousand tonnes","26,504",""
"2016","France","Thousand tonnes","89,107",""
"2016","Croatia","Thousand tonnes","9,985",""
"2016","Italy","Thousand tonnes","92,949",""
"2016","Cyprus","Thousand tonnes",":","z"
"2016","Latvia","Thousand tonnes","47,819",""
"2016","Lithuania","Thousand tonnes","47,651",""
"2016","Luxembourg","Thousand tonnes","4,482",""
"2016","Hungary","Thousand tonnes","50,047",""
"2016","Malta","Thousand tonnes",":","z"
"2016","Netherlands","Thousand tonnes","42,615",""
"2016","Austria","Thousand tonnes","102,835",""
"2016","Poland","Thousand tonnes","222,523",""
"2016","Portugal","Thousand tonnes","10,259",""
"2016","Romania","Thousand tonnes","52,618",""
"2016","Slovenia","Thousand tonnes","18,595",""
"2016","Slovakia","Thousand tonnes","47,548",""
"2016","Finland","Thousand tonnes","36,162",""
"2016","Sweden","Thousand tonnes","67,479",""
"2016","United Kingdom","Thousand tonnes","78,549",""
"2016","Liechtenstein","Thousand tonnes",":","c"
"2016","Norway","Thousand tonnes","33,260",""
"2016","Switzerland","Thousand tonnes","67,846",""
"2016","Montenegro","Thousand tonnes","1,395",""
"2016","North Macedonia","Thousand tonnes","1,358",""
"2016","Turkey","Thousand tonnes","24,546",""
"2016","Bosnia and Herzegovina","Thousand tonnes","13,155",""
"2017","Belgium","Thousand tonnes",":","c"
"2017","Bulgaria","Thousand tonnes","16,030",""
"2017","Czechia","Thousand tonnes","96,516",""
"2017","Denmark","Thousand tonnes","9,314",""
"2017","Germany (until 1990 former territory of the FRG)","Thousand tonnes","384,674",""
"2017","Estonia","Thousand tonnes","27,256",""
"2017","Ireland","Thousand tonnes","546",""
"2017","Greece","Thousand tonnes","1,328",""
"2017","Spain","Thousand tonnes","27,654",""
"2017","France","Thousand tonnes","91,105",""
"2017","Croatia","Thousand tonnes","12,178",""
"2017","Italy","Thousand tonnes","94,287",""
"2017","Cyprus","Thousand tonnes",":","z"
"2017","Latvia","Thousand tonnes","43,785",""
"2017","Lithuania","Thousand tonnes","52,638",""
"2017","Luxembourg","Thousand tonnes","4,406",""
"2017","Hungary","Thousand tonnes","52,682",""
"2017","Malta","Thousand tonnes",":","z"
"2017","Netherlands","Thousand tonnes","41,190",""
"2017","Austria","Thousand tonnes","107,579",""
"2017","Poland","Thousand tonnes","239,501",""
"2017","Portugal","Thousand tonnes","10,453",""
"2017","Romania","Thousand tonnes","56,083",""
"2017","Slovenia","Thousand tonnes","21,275",""
"2017","Slovakia","Thousand tonnes","47,760",""
"2017","Finland","Thousand tonnes","38,468",""
"2017","Sweden","Thousand tonnes","69,350",""
"2017","United Kingdom","Thousand tonnes","76,393",""
"2017","Liechtenstein","Thousand tonnes",":","c"
"2017","Norway","Thousand tonnes","34,974",""
"2017","Switzerland","Thousand tonnes","67,157",""
"2017","Montenegro","Thousand tonnes","1,603",""
"2017","North Macedonia","Thousand tonnes","1,558",""
"2017","Turkey","Thousand tonnes","28,287",""
"2017","Bosnia and Herzegovina","Thousand tonnes","13,254",""
"2018","Belgium","Thousand tonnes",":","c"
"2018","Bulgaria","Thousand tonnes","14,796",""
"2018","Czechia","Thousand tonnes","99,307",""
"2018","Denmark","Thousand tonnes","9,097",""
"2018","Germany (until 1990 former territory of the FRG)","Thousand tonnes","368,804",""
"2018","Estonia","Thousand tonnes","27,813",""
"2018","Ireland","Thousand tonnes","516",""
"2018","Greece","Thousand tonnes","1,358",""
"2018","Spain","Thousand tonnes","27,161",""
"2018","France","Thousand tonnes","84,079",""
"2018","Croatia","Thousand tonnes","13,444",""
"2018","Italy","Thousand tonnes","97,197",""
"2018","Cyprus","Thousand tonnes",":","z"
"2018","Latvia","Thousand tonnes","49,260",""
"2018","Lithuania","Thousand tonnes","56,776",""
"2018","Luxembourg","Thousand tonnes","4,585",""
"2018","Hungary","Thousand tonnes","52,471",""
"2018","Malta","Thousand tonnes",":","z"
"2018","Netherlands","Thousand tonnes","41,558",""
"2018","Austria","Thousand tonnes","105,271",""
"2018","Poland","Thousand tonnes","249,260",""
"2018","Portugal","Thousand tonnes","10,221",""
"2018","Romania","Thousand tonnes","55,429",""
"2018","Slovenia","Thousand tonnes","21,316",""
"2018","Slovakia","Thousand tonnes","49,642",""
"2018","Finland","Thousand tonnes","40,721",""
"2018","Sweden","Thousand tonnes","74,295",""
"2018","United Kingdom","Thousand tonnes","75,399",""
"2018","Liechtenstein","Thousand tonnes",":","c"
"2018","Norway","Thousand tonnes","35,231",""
"2018","Switzerland","Thousand tonnes","68,719",""
"2018","Montenegro","Thousand tonnes","966",""
"2018","North Macedonia","Thousand tonnes","1,679",""
"2018","Turkey","Thousand tonnes","28,484",""
"2018","Bosnia and Herzegovina","Thousand tonnes","13,514",""
