"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2017","Spain","Thousand passengers","600,296",""
"2017","France","Thousand passengers","1,277,479",""
"2017","Croatia","Thousand passengers","19,803",""
"2017","Italy","Thousand passengers","864,570",""
"2017","Cyprus","Thousand passengers",":","z"
"2017","Latvia","Thousand passengers","17,494",""
"2017","Lithuania","Thousand passengers","4,176",""
"2017","Luxembourg","Thousand passengers","22,930",""
"2017","Hungary","Thousand passengers",":","c"
"2017","Malta","Thousand passengers",":","z"
"2017","Netherlands","Thousand passengers",":","c"
"2017","Austria","Thousand passengers","288,503",""
"2017","Poland","Thousand passengers","295,394",""
"2017","Portugal","Thousand passengers","142,127",""
"2017","Romania","Thousand passengers","69,056",""
"2017","Slovenia","Thousand passengers","13,002",""
"2017","Slovakia","Thousand passengers","74,916",""
"2017","Finland","Thousand passengers","85,703",""
"2017","Sweden","Thousand passengers","229,817",""
"2017","United Kingdom","Thousand passengers","1,757,359",""
"2017","Liechtenstein","Thousand passengers",":","c"
"2017","Norway","Thousand passengers","73,561",""
"2017","Switzerland","Thousand passengers","611,547",""
"2017","Montenegro","Thousand passengers","927",""
"2017","North Macedonia","Thousand passengers","500",""
"2017","Turkey","Thousand passengers","85,338",""
"2017","Bosnia and Herzegovina","Thousand passengers","472",""
"2018","Belgium","Thousand passengers",":","c"
"2018","Bulgaria","Thousand passengers","21,329",""
"2018","Czechia","Thousand passengers","189,288",""
"2018","Denmark","Thousand passengers","205,307",""
"2018","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,880,558",""
"2018","Estonia","Thousand passengers","7,759",""
"2018","Ireland","Thousand passengers","47,960",""
"2018","Greece","Thousand passengers","16,795",""
"2018","Spain","Thousand passengers","601,912",""
"2018","France","Thousand passengers","1,246,804",""
"2018","Croatia","Thousand passengers","20,244",""
"2018","Italy","Thousand passengers","882,243",""
"2018","Cyprus","Thousand passengers",":","z"
"2018","Latvia","Thousand passengers","18,242",""
"2018","Lithuania","Thousand passengers","4,665",""
"2018","Luxembourg","Thousand passengers","23,331",""
"2018","Hungary","Thousand passengers",":","c"
"2018","Malta","Thousand passengers",":","z"
"2018","Netherlands","Thousand passengers",":","c"
"2018","Austria","Thousand passengers","307,647",""
"2018","Poland","Thousand passengers",":","c"
"2018","Portugal","Thousand passengers","147,581",""
"2018","Romania","Thousand passengers","66,500",""
"2018","Slovenia","Thousand passengers","13,105",""
"2018","Slovakia","Thousand passengers","77,265",""
"2018","Finland","Thousand passengers","87,502",""
"2018","Sweden","Thousand passengers","246,490",""
"2018","United Kingdom","Thousand passengers","1,783,232",""
"2018","Liechtenstein","Thousand passengers",":","c"
"2018","Norway","Thousand passengers","77,740",""
"2018","Switzerland","Thousand passengers","610,160",""
"2018","Montenegro","Thousand passengers","992",""
"2018","North Macedonia","Thousand passengers","540",""
"2018","Turkey","Thousand passengers","100,568",""
"2018","Bosnia and Herzegovina","Thousand passengers","549",""
